,Unnamed: 1_level_0,Fantasy,Return,Tackles,Misc,Turnovers,TD,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0
Player,Bye,Fan Pts,Yds,TD,Tack Solo,Tack Ast,TFL,Sack,Safe,Pass Def,Blk Kick,Int,Fum Force,Fum Rec,TD
Adrian Amos,9,155.5,0,0,62,7,6,0.0,0,3,0,1,2,1,1
NaVorro Bowman,10,218.5,0,0,80,47,6,1.5,0,3,0,1,0,1,0
DeForest Buckner,11,136.25,0,0,45,16,5,3.0,0,5,0,0,1,0,0
Barry Church ,8,190.0,0,0,58,16,2,1.5,0,8,0,4,0,0,1
Jeff Heath,6,167.25,0,0,63,8,2,0.0,0,5,0,3,2,0,0
Trumaine Johnson,11,190.9,6,0,57,8,0,0.0,0,14,0,2,1,1,1
Cameron Jordan,5,237.5,0,0,48,14,17,13.0,0,11,0,1,2,0,1
Christian Kirksey,9,254.0,0,0,86,52,6,3.5,0,5,0,0,2,1,0
Ryan Smith,1,139.0,0,0,52,11,0,0.0,0,5,1,0,2,1,0
